data,importo,nome_merchant,categoria,descrizione
2024-10-14,2217.8,Stipendio Azienda SRL,Stipendio,Accredito Stipendio Azienda SRL
2024-10-17,-42.21,Netflix,Abbonamenti,Pagamento Netflix
2024-10-23,-19.35,TIM,Telefonia,Pagamento TIM
2024-10-25,-179.53,ENI,Carburante,Pagamento ENI
2024-10-26,-154.23,Caffè Verdi,Bar & Caffè,Pagamento Caffè Verdi
2024-11-09,-119.45,Uber,Trasporti,Pagamento Uber
2024-11-12,-106.04,Spotify,Abbonamenti,Pagamento Spotify
2024-11-20,-12.72,Q8,Carburante,Pagamento Q8
2024-11-23,69.8,Rimborso spese,Entrata,Accredito Rimborso spese
2024-11-30,-15.61,McDonald's,Ristoranti,Pagamento McDonald's
2024-12-02,-60.36,Zara,Abbigliamento,Pagamento Zara
2024-12-05,140.58,Bonifico Mario Rossi,Entrata,Accredito Bonifico Mario Rossi
2024-12-15,-116.12,TIM,Telefonia,Pagamento TIM
2024-12-17,-93.45,Q8,Carburante,Pagamento Q8
2024-12-19,-11.3,Decathlon,Sport,Pagamento Decathlon
2024-12-26,160.92,Bonifico Mario Rossi,Entrata,Accredito Bonifico Mario Rossi
2025-01-04,-175.08,Q8,Carburante,Pagamento Q8
2025-01-05,-105.84,Palestra FitLife,Sport,Pagamento Palestra FitLife
2025-01-07,-24.12,Cinema Odeon,Svago,Pagamento Cinema Odeon
2025-01-08,-175.3,McDonald's,Ristoranti,Pagamento McDonald's
2025-01-21,-129.77,Trattoria Centrale,Ristoranti,Pagamento Trattoria Centrale
2025-01-24,-27.47,Burger King,Ristoranti,Pagamento Burger King
2025-01-25,2214.82,Stipendio Azienda SRL,Stipendio,Accredito Stipendio Azienda SRL
2025-02-02,-5.1,Caffè Verdi,Bar & Caffè,Pagamento Caffè Verdi
2025-03-09,-146.25,Q8,Carburante,Pagamento Q8
2025-03-16,161.68,Bonifico Mario Rossi,Entrata,Accredito Bonifico Mario Rossi
2025-03-16,68.4,Rimborso spese,Entrata,Accredito Rimborso spese
2025-03-21,157.93,Bonifico Mario Rossi,Entrata,Accredito Bonifico Mario Rossi
2025-03-22,-167.56,Trattoria Centrale,Ristoranti,Pagamento Trattoria Centrale
2025-03-25,-58.81,Uber,Trasporti,Pagamento Uber
2025-03-31,386.22,Affitto stanza,Entrata,Accredito Affitto stanza
